"object_id";"parent_object_id";"size";"structuredness";"hierarchicallity";"information_amount";"location_specification";"existence_from";"existence_to"
"12";"2";"1114";"0.861257";"1";"0.67684";"/bazen/1/";"2019-03-01 00:00:00";NULL
"16";"2";"1201";"0.85277";"1";"0.648626";"/bazen/2/";"2019-03-01 00:00:00";NULL
"11";"2";"834";"0.790008";"1";"0.618705";"/bazen/3/";"2019-03-01 00:00:00";NULL
"15";"2";"110";"0.976116";"1";"1";"/bazen/4/";"2019-03-01 00:00:00";NULL
"10";"2";"2779";"0.0384853";"1";"0.510975";"/bazen/5/";"2019-03-01 00:00:00";NULL
"13";"2";"1231";"0.107774";"1";"0.609261";"/bazen/6/";"2019-03-01 00:00:00";NULL
"14";"2";"1173";"0.195909";"1";"0.573743";"/bazen/7/";"2019-03-01 00:00:00";NULL
"17";"3";"84";"1";"1";"1";"/clovek/1/";"2019-03-01 00:00:00";NULL
"69";"3";"96";"1";"1";"0.958333";"/clovek/100/";"2019-03-01 00:00:00";NULL
"923";"3";"101";"1";"1";"0.970297";"/clovek/1000/";"2019-03-01 00:00:00";NULL
"924";"3";"101";"1";"1";"0.960396";"/clovek/1001/";"2019-03-01 00:00:00";NULL
"925";"3";"101";"1";"1";"0.950495";"/clovek/1002/";"2019-03-01 00:00:00";NULL
"926";"3";"101";"1";"1";"0.940594";"/clovek/1003/";"2019-03-01 00:00:00";NULL
"927";"3";"101";"1";"1";"0.920792";"/clovek/1004/";"2019-03-01 00:00:00";NULL
"928";"3";"101";"1";"1";"0.950495";"/clovek/1005/";"2019-03-01 00:00:00";NULL
"929";"3";"101";"1";"1";"0.960396";"/clovek/1006/";"2019-03-01 00:00:00";NULL
"930";"3";"101";"1";"1";"0.950495";"/clovek/1007/";"2019-03-01 00:00:00";NULL
"931";"3";"101";"1";"1";"0.960396";"/clovek/1008/";"2019-03-01 00:00:00";NULL
"932";"3";"101";"1";"1";"0.960396";"/clovek/1009/";"2019-03-01 00:00:00";NULL
"70";"3";"96";"1";"1";"0.979167";"/clovek/101/";"2019-03-01 00:00:00";NULL
"933";"3";"101";"1";"1";"0.950495";"/clovek/1010/";"2019-03-01 00:00:00";NULL
"934";"3";"101";"1";"1";"0.960396";"/clovek/1011/";"2019-03-01 00:00:00";NULL
"935";"3";"101";"1";"1";"0.940594";"/clovek/1012/";"2019-03-01 00:00:00";NULL
"936";"3";"101";"1";"1";"0.930693";"/clovek/1013/";"2019-03-01 00:00:00";NULL
"937";"3";"101";"1";"1";"0.960396";"/clovek/1014/";"2019-03-01 00:00:00";NULL
"938";"3";"101";"1";"1";"0.950495";"/clovek/1015/";"2019-03-01 00:00:00";NULL
"939";"3";"101";"1";"1";"0.950495";"/clovek/1016/";"2019-03-01 00:00:00";NULL
"940";"3";"101";"1";"1";"0.960396";"/clovek/1017/";"2019-03-01 00:00:00";NULL
"941";"3";"101";"1";"1";"0.950495";"/clovek/1018/";"2019-03-01 00:00:00";NULL
"942";"3";"101";"1";"1";"0.950495";"/clovek/1019/";"2019-03-01 00:00:00";NULL
"71";"3";"96";"1";"1";"0.989583";"/clovek/102/";"2019-03-01 00:00:00";NULL
"943";"3";"101";"1";"1";"0.940594";"/clovek/1020/";"2019-03-01 00:00:00";NULL
"944";"3";"101";"1";"1";"0.940594";"/clovek/1021/";"2019-03-01 00:00:00";NULL
"945";"3";"101";"1";"1";"0.960396";"/clovek/1022/";"2019-03-01 00:00:00";NULL
"946";"3";"101";"1";"1";"0.940594";"/clovek/1023/";"2019-03-01 00:00:00";NULL
"947";"3";"101";"1";"1";"0.950495";"/clovek/1024/";"2019-03-01 00:00:00";NULL
"948";"3";"101";"1";"1";"0.950495";"/clovek/1025/";"2019-03-01 00:00:00";NULL
"949";"3";"101";"1";"1";"0.920792";"/clovek/1026/";"2019-03-01 00:00:00";NULL
"950";"3";"101";"1";"1";"0.950495";"/clovek/1027/";"2019-03-01 00:00:00";NULL
"951";"3";"101";"1";"1";"0.950495";"/clovek/1028/";"2019-03-01 00:00:00";NULL
"952";"3";"101";"1";"1";"0.940594";"/clovek/1029/";"2019-03-01 00:00:00";NULL
"72";"3";"96";"1";"1";"0.979167";"/clovek/103/";"2019-03-01 00:00:00";NULL
"953";"3";"101";"1";"1";"0.950495";"/clovek/1030/";"2019-03-01 00:00:00";NULL
"954";"3";"101";"1";"1";"0.960396";"/clovek/1031/";"2019-03-01 00:00:00";NULL
"955";"3";"101";"1";"1";"0.940594";"/clovek/1032/";"2019-03-01 00:00:00";NULL
"956";"3";"101";"1";"1";"0.940594";"/clovek/1033/";"2019-03-01 00:00:00";NULL
"957";"3";"101";"1";"1";"0.950495";"/clovek/1034/";"2019-03-01 00:00:00";NULL
"958";"3";"101";"1";"1";"0.950495";"/clovek/1035/";"2019-03-01 00:00:00";NULL
"959";"3";"101";"1";"1";"0.970297";"/clovek/1036/";"2019-03-01 00:00:00";NULL
"960";"3";"101";"1";"1";"0.960396";"/clovek/1037/";"2019-03-01 00:00:00";NULL
"961";"3";"101";"1";"1";"0.950495";"/clovek/1038/";"2019-03-01 00:00:00";NULL
"962";"3";"101";"1";"1";"0.950495";"/clovek/1039/";"2019-03-01 00:00:00";NULL
"73";"3";"96";"1";"1";"1";"/clovek/104/";"2019-03-01 00:00:00";NULL
"963";"3";"101";"1";"1";"0.960396";"/clovek/1040/";"2019-03-01 00:00:00";NULL
"964";"3";"101";"1";"1";"0.950495";"/clovek/1041/";"2019-03-01 00:00:00";NULL
"965";"3";"101";"1";"1";"0.940594";"/clovek/1042/";"2019-03-01 00:00:00";NULL
"966";"3";"101";"1";"1";"0.950495";"/clovek/1043/";"2019-03-01 00:00:00";NULL
"967";"3";"101";"1";"1";"0.960396";"/clovek/1044/";"2019-03-01 00:00:00";NULL
"968";"3";"101";"1";"1";"0.950495";"/clovek/1045/";"2019-03-01 00:00:00";NULL
"969";"3";"101";"1";"1";"0.940594";"/clovek/1046/";"2019-03-01 00:00:00";NULL
"970";"3";"101";"1";"1";"0.960396";"/clovek/1047/";"2019-03-01 00:00:00";NULL
"971";"3";"101";"1";"1";"0.960396";"/clovek/1048/";"2019-03-01 00:00:00";NULL
"972";"3";"101";"1";"1";"0.950495";"/clovek/1049/";"2019-03-01 00:00:00";NULL
"74";"3";"96";"1";"1";"0.989583";"/clovek/105/";"2019-03-01 00:00:00";NULL
"973";"3";"101";"1";"1";"0.950495";"/clovek/1050/";"2019-03-01 00:00:00";NULL
"974";"3";"101";"1";"1";"0.940594";"/clovek/1051/";"2019-03-01 00:00:00";NULL
"975";"3";"101";"1";"1";"0.950495";"/clovek/1052/";"2019-03-01 00:00:00";NULL
"976";"3";"101";"1";"1";"0.950495";"/clovek/1053/";"2019-03-01 00:00:00";NULL
"977";"3";"101";"1";"1";"0.950495";"/clovek/1054/";"2019-03-01 00:00:00";NULL
"978";"3";"101";"1";"1";"0.950495";"/clovek/1055/";"2019-03-01 00:00:00";NULL
"979";"3";"101";"1";"1";"0.940594";"/clovek/1056/";"2019-03-01 00:00:00";NULL
"980";"3";"101";"1";"1";"0.960396";"/clovek/1057/";"2019-03-01 00:00:00";NULL
"981";"3";"101";"1";"1";"0.950495";"/clovek/1058/";"2019-03-01 00:00:00";NULL
"982";"3";"101";"1";"1";"0.960396";"/clovek/1059/";"2019-03-01 00:00:00";NULL
"983";"3";"101";"1";"1";"0.960396";"/clovek/1060/";"2019-03-01 00:00:00";NULL
"984";"3";"101";"1";"1";"0.930693";"/clovek/1061/";"2019-03-01 00:00:00";NULL
"985";"3";"101";"1";"1";"0.960396";"/clovek/1062/";"2019-03-01 00:00:00";NULL
"986";"3";"101";"1";"1";"0.960396";"/clovek/1063/";"2019-03-01 00:00:00";NULL
"987";"3";"101";"1";"1";"0.940594";"/clovek/1064/";"2019-03-01 00:00:00";NULL
"988";"3";"101";"1";"1";"0.960396";"/clovek/1065/";"2019-03-01 00:00:00";NULL
"989";"3";"101";"1";"1";"0.940594";"/clovek/1066/";"2019-03-01 00:00:00";NULL
"990";"3";"101";"1";"1";"0.950495";"/clovek/1067/";"2019-03-01 00:00:00";NULL
"991";"3";"101";"1";"1";"0.950495";"/clovek/1068/";"2019-03-01 00:00:00";NULL
"992";"3";"101";"1";"1";"0.930693";"/clovek/1069/";"2019-03-01 00:00:00";NULL
"75";"3";"96";"1";"1";"0.96875";"/clovek/107/";"2019-03-01 00:00:00";NULL
"993";"3";"101";"1";"1";"0.940594";"/clovek/1070/";"2019-03-01 00:00:00";NULL
"994";"3";"101";"1";"1";"0.950495";"/clovek/1071/";"2019-03-01 00:00:00";NULL
"995";"3";"101";"1";"1";"0.950495";"/clovek/1072/";"2019-03-01 00:00:00";NULL
"996";"3";"101";"1";"1";"0.960396";"/clovek/1073/";"2019-03-01 00:00:00";NULL
"997";"3";"101";"1";"1";"0.950495";"/clovek/1074/";"2019-03-01 00:00:00";NULL
"998";"3";"101";"1";"1";"0.950495";"/clovek/1075/";"2019-03-01 00:00:00";NULL
"999";"3";"101";"1";"1";"0.950495";"/clovek/1076/";"2019-03-01 00:00:00";NULL
"1000";"3";"101";"1";"1";"0.950495";"/clovek/1077/";"2019-03-01 00:00:00";NULL
"1001";"3";"101";"1";"1";"0.950495";"/clovek/1078/";"2019-03-01 00:00:00";NULL
"1002";"3";"101";"1";"1";"0.950495";"/clovek/1079/";"2019-03-01 00:00:00";NULL
"76";"3";"96";"1";"1";"0.989583";"/clovek/108/";"2019-03-01 00:00:00";NULL
"1003";"3";"101";"1";"1";"0.940594";"/clovek/1080/";"2019-03-01 00:00:00";NULL
"1004";"3";"101";"1";"1";"0.950495";"/clovek/1081/";"2019-03-01 00:00:00";NULL
"1005";"3";"101";"1";"1";"0.950495";"/clovek/1082/";"2019-03-01 00:00:00";NULL
"1006";"3";"101";"1";"1";"0.950495";"/clovek/1083/";"2019-03-01 00:00:00";NULL
