"object_id";"parent_object_id";"size";"structuredness";"hierarchicallity";"information_amount";"location_specification";"existence_from";"existence_to"
"4";"3";"1";"1";"1";"1";"/text/1/id_text/";"2019-03-01 00:00:00";NULL
"5";"3";"15";"1";"1";"1";"/text/1/ident/";"2019-03-01 00:00:00";NULL
"6";"3";"290";"0";"1";"0.817241";"/text/1/text_cz/";"2019-03-01 00:00:00";NULL
"7";"3";"196";"0";"1";"0.841837";"/text/1/text_en/";"2019-03-01 00:00:00";NULL
"8";"3";"47";"0";"1";"1";"/text/1/legend/";"2019-03-01 00:00:00";NULL
"9";"3";"193";"1";"1";"0.766839";"/text/1/params_example/";"2019-03-01 00:00:00";NULL
"11";"10";"2";"1";"1";"1";"/text/13/id_text/";"2019-03-01 00:00:00";NULL
"12";"10";"14";"1";"1";"1";"/text/13/ident/";"2019-03-01 00:00:00";NULL
"13";"10";"67";"0";"1";"1";"/text/13/text_cz/";"2019-03-01 00:00:00";NULL
"14";"10";"53";"0";"1";"1";"/text/13/text_en/";"2019-03-01 00:00:00";NULL
"15";"10";"15";"1";"1";"1";"/text/13/legend/";"2019-03-01 00:00:00";NULL
"16";"10";"285";"0";"1";"0.680702";"/text/13/params_example/";"2019-03-01 00:00:00";NULL
"18";"17";"2";"1";"1";"1";"/text/41/id_text/";"2019-03-01 00:00:00";NULL
"19";"17";"15";"1";"1";"1";"/text/41/ident/";"2019-03-01 00:00:00";NULL
"20";"17";"542";"0";"1";"0.684502";"/text/41/text_cz/";"2019-03-01 00:00:00";NULL
"21";"17";"542";"0";"1";"0.684502";"/text/41/text_en/";"2019-03-01 00:00:00";NULL
"22";"17";"23";"0";"1";"1";"/text/41/legend/";"2019-03-01 00:00:00";NULL
"23";"17";"0";"1";"1";"1";"/text/41/params_example/";"2019-03-01 00:00:00";NULL
"25";"24";"2";"1";"1";"1";"/text/46/id_text/";"2019-03-01 00:00:00";NULL
"26";"24";"8";"1";"1";"1";"/text/46/ident/";"2019-03-01 00:00:00";NULL
"27";"24";"1517";"0";"1";"0.55768";"/text/46/text_cz/";"2019-03-01 00:00:00";NULL
"28";"24";"815";"0";"1";"0.597546";"/text/46/text_en/";"2019-03-01 00:00:00";NULL
"29";"24";"16";"1";"1";"1";"/text/46/legend/";"2019-03-01 00:00:00";NULL
"30";"24";"164";"1";"1";"0.823171";"/text/46/params_example/";"2019-03-01 00:00:00";NULL
"32";"31";"1";"1";"1";"1";"/text/2/id_text/";"2019-03-01 00:00:00";NULL
"33";"31";"18";"1";"1";"1";"/text/2/ident/";"2019-03-01 00:00:00";NULL
"34";"31";"229";"0";"1";"0.886463";"/text/2/text_cz/";"2019-03-01 00:00:00";NULL
"35";"31";"239";"0";"1";"0.790795";"/text/2/text_en/";"2019-03-01 00:00:00";NULL
"36";"31";"63";"0";"1";"1";"/text/2/legend/";"2019-03-01 00:00:00";NULL
"37";"31";"267";"1";"1";"0.696629";"/text/2/params_example/";"2019-03-01 00:00:00";NULL
"39";"38";"2";"1";"1";"1";"/text/43/id_text/";"2019-03-01 00:00:00";NULL
"40";"38";"13";"1";"1";"1";"/text/43/ident/";"2019-03-01 00:00:00";NULL
"41";"38";"104";"0";"1";"1";"/text/43/text_cz/";"2019-03-01 00:00:00";NULL
"42";"38";"104";"0";"1";"1";"/text/43/text_en/";"2019-03-01 00:00:00";NULL
"43";"38";"41";"0";"1";"1";"/text/43/legend/";"2019-03-01 00:00:00";NULL
"44";"38";"0";"1";"1";"1";"/text/43/params_example/";"2019-03-01 00:00:00";NULL
"46";"45";"2";"1";"1";"1";"/text/19/id_text/";"2019-03-01 00:00:00";NULL
"47";"45";"9";"1";"1";"1";"/text/19/ident/";"2019-03-01 00:00:00";NULL
"48";"45";"27";"0";"1";"1";"/text/19/text_cz/";"2019-03-01 00:00:00";NULL
"49";"45";"28";"0";"1";"1";"/text/19/text_en/";"2019-03-01 00:00:00";NULL
"50";"45";"17";"0";"1";"1";"/text/19/legend/";"2019-03-01 00:00:00";NULL
"51";"45";"0";"1";"1";"1";"/text/19/params_example/";"2019-03-01 00:00:00";NULL
"53";"52";"2";"1";"1";"1";"/text/75/id_text/";"2019-03-01 00:00:00";NULL
"54";"52";"21";"1";"1";"1";"/text/75/ident/";"2019-03-01 00:00:00";NULL
"55";"52";"51";"0";"1";"1";"/text/75/text_cz/";"2019-03-01 00:00:00";NULL
"56";"52";"51";"0";"1";"1";"/text/75/text_en/";"2019-03-01 00:00:00";NULL
"57";"52";"61";"0";"1";"1";"/text/75/legend/";"2019-03-01 00:00:00";NULL
"58";"52";"0";"1";"1";"1";"/text/75/params_example/";"2019-03-01 00:00:00";NULL
"60";"59";"2";"1";"1";"1";"/text/21/id_text/";"2019-03-01 00:00:00";NULL
"61";"59";"21";"1";"1";"1";"/text/21/ident/";"2019-03-01 00:00:00";NULL
"62";"59";"39";"0";"1";"1";"/text/21/text_cz/";"2019-03-01 00:00:00";NULL
"63";"59";"39";"0";"1";"1";"/text/21/text_en/";"2019-03-01 00:00:00";NULL
"64";"59";"24";"0";"1";"1";"/text/21/legend/";"2019-03-01 00:00:00";NULL
"65";"59";"0";"1";"1";"1";"/text/21/params_example/";"2019-03-01 00:00:00";NULL
"67";"66";"2";"1";"1";"1";"/text/20/id_text/";"2019-03-01 00:00:00";NULL
"68";"66";"18";"1";"1";"1";"/text/20/ident/";"2019-03-01 00:00:00";NULL
"69";"66";"44";"0";"1";"1";"/text/20/text_cz/";"2019-03-01 00:00:00";NULL
"70";"66";"44";"0";"1";"1";"/text/20/text_en/";"2019-03-01 00:00:00";NULL
"71";"66";"28";"0";"1";"1";"/text/20/legend/";"2019-03-01 00:00:00";NULL
"72";"66";"0";"1";"1";"1";"/text/20/params_example/";"2019-03-01 00:00:00";NULL
"74";"73";"2";"1";"1";"1";"/text/24/id_text/";"2019-03-01 00:00:00";NULL
"75";"73";"10";"1";"1";"1";"/text/24/ident/";"2019-03-01 00:00:00";NULL
"76";"73";"77";"0";"1";"1";"/text/24/text_cz/";"2019-03-01 00:00:00";NULL
"77";"73";"77";"0";"1";"1";"/text/24/text_en/";"2019-03-01 00:00:00";NULL
"78";"73";"9";"1";"1";"1";"/text/24/legend/";"2019-03-01 00:00:00";NULL
"79";"73";"0";"1";"1";"1";"/text/24/params_example/";"2019-03-01 00:00:00";NULL
"81";"80";"2";"1";"1";"1";"/text/22/id_text/";"2019-03-01 00:00:00";NULL
"82";"80";"15";"1";"1";"1";"/text/22/ident/";"2019-03-01 00:00:00";NULL
"83";"80";"74";"0";"1";"1";"/text/22/text_cz/";"2019-03-01 00:00:00";NULL
"84";"80";"74";"0";"1";"1";"/text/22/text_en/";"2019-03-01 00:00:00";NULL
"85";"80";"34";"0";"1";"1";"/text/22/legend/";"2019-03-01 00:00:00";NULL
"86";"80";"0";"1";"1";"1";"/text/22/params_example/";"2019-03-01 00:00:00";NULL
"88";"87";"2";"1";"1";"1";"/text/23/id_text/";"2019-03-01 00:00:00";NULL
"89";"87";"23";"1";"1";"1";"/text/23/ident/";"2019-03-01 00:00:00";NULL
"90";"87";"59";"0";"1";"1";"/text/23/text_cz/";"2019-03-01 00:00:00";NULL
"91";"87";"59";"0";"1";"1";"/text/23/text_en/";"2019-03-01 00:00:00";NULL
"92";"87";"27";"0";"1";"1";"/text/23/legend/";"2019-03-01 00:00:00";NULL
