"object_id";"parent_object_id";"size";"structuredness";"hierarchicallity";"information_amount";"location_specification";"existence_from";"existence_to"
"27484";"12";"1";"1";"1";"1";"/bazen/1/id_bazen/";"2019-03-01 00:00:00";NULL
"27485";"12";"6";"1";"1";"1";"/bazen/1/nazev/";"2019-03-01 00:00:00";NULL
"27486";"12";"6";"1";"1";"1";"/bazen/1/identifikator/";"2019-03-01 00:00:00";NULL
"27487";"12";"21";"1";"1";"1";"/bazen/1/gps/";"2019-03-01 00:00:00";NULL
"27488";"12";"16";"1";"1";"1";"/bazen/1/cpb/";"2019-03-01 00:00:00";NULL
"27489";"12";"22";"1";"1";"1";"/bazen/1/panoid/";"2019-03-01 00:00:00";NULL
"27490";"12";"18";"1";"1";"1";"/bazen/1/adresa/";"2019-03-01 00:00:00";NULL
"27491";"12";"28";"0";"1";"1";"/bazen/1/nadpis/";"2019-03-01 00:00:00";NULL
"27492";"12";"414";"0";"1";"0.78744";"/bazen/1/popis/";"2019-03-01 00:00:00";NULL
"27493";"12";"0";"1";"1";"1";"/bazen/1/foto/";"2019-03-01 00:00:00";NULL
"27494";"12";"0";"1";"1";"1";"/bazen/1/mapa/";"2019-03-01 00:00:00";NULL
"27495";"12";"0";"1";"1";"1";"/bazen/1/mapastreet/";"2019-03-01 00:00:00";NULL
"27496";"12";"1";"1";"1";"1";"/bazen/1/static/";"2019-03-01 00:00:00";NULL
"27497";"12";"0";"1";"1";"1";"/bazen/1/icon/";"2019-03-01 00:00:00";NULL
"27498";"12";"224";"1";"1";"0.883929";"/bazen/1/map_url/";"2019-03-01 00:00:00";NULL
"27499";"12";"140";"1";"1";"1";"/bazen/1/map_url_street/";"2019-03-01 00:00:00";NULL
"27500";"12";"0";"1";"1";"1";"/bazen/1/vytvoreno/";"2019-03-01 00:00:00";NULL
"27501";"12";"217";"1";"1";"0.843318";"/bazen/1/iframe_map_url/";"2019-03-01 00:00:00";NULL
"27502";"16";"1";"1";"1";"1";"/bazen/2/id_bazen/";"2019-03-01 00:00:00";NULL
"27503";"16";"6";"1";"1";"1";"/bazen/2/nazev/";"2019-03-01 00:00:00";NULL
"27504";"16";"5";"1";"1";"1";"/bazen/2/identifikator/";"2019-03-01 00:00:00";NULL
"27505";"16";"24";"1";"1";"1";"/bazen/2/gps/";"2019-03-01 00:00:00";NULL
"27506";"16";"17";"1";"1";"1";"/bazen/2/cpb/";"2019-03-01 00:00:00";NULL
"27507";"16";"22";"1";"1";"1";"/bazen/2/panoid/";"2019-03-01 00:00:00";NULL
"27508";"16";"30";"0";"1";"1";"/bazen/2/adresa/";"2019-03-01 00:00:00";NULL
"27509";"16";"28";"0";"1";"1";"/bazen/2/nadpis/";"2019-03-01 00:00:00";NULL
"27510";"16";"459";"0";"1";"0.734205";"/bazen/2/popis/";"2019-03-01 00:00:00";NULL
"27511";"16";"0";"1";"1";"1";"/bazen/2/foto/";"2019-03-01 00:00:00";NULL
"27512";"16";"0";"1";"1";"1";"/bazen/2/mapa/";"2019-03-01 00:00:00";NULL
"27513";"16";"0";"1";"1";"1";"/bazen/2/mapastreet/";"2019-03-01 00:00:00";NULL
"27514";"16";"1";"1";"1";"1";"/bazen/2/static/";"2019-03-01 00:00:00";NULL
"27515";"16";"0";"1";"1";"1";"/bazen/2/icon/";"2019-03-01 00:00:00";NULL
"27516";"16";"239";"1";"1";"0.861925";"/bazen/2/map_url/";"2019-03-01 00:00:00";NULL
"27517";"16";"139";"1";"1";"1";"/bazen/2/map_url_street/";"2019-03-01 00:00:00";NULL
"27518";"16";"0";"1";"1";"1";"/bazen/2/vytvoreno/";"2019-03-01 00:00:00";NULL
"27519";"16";"230";"1";"1";"0.83913";"/bazen/2/iframe_map_url/";"2019-03-01 00:00:00";NULL
"27520";"11";"1";"1";"1";"1";"/bazen/3/id_bazen/";"2019-03-01 00:00:00";NULL
"27521";"11";"5";"1";"1";"1";"/bazen/3/nazev/";"2019-03-01 00:00:00";NULL
"27522";"11";"5";"1";"1";"1";"/bazen/3/identifikator/";"2019-03-01 00:00:00";NULL
"27523";"11";"23";"1";"1";"1";"/bazen/3/gps/";"2019-03-01 00:00:00";NULL
"27524";"11";"16";"1";"1";"1";"/bazen/3/cpb/";"2019-03-01 00:00:00";NULL
"27525";"11";"22";"1";"1";"1";"/bazen/3/panoid/";"2019-03-01 00:00:00";NULL
"27526";"11";"12";"1";"1";"1";"/bazen/3/adresa/";"2019-03-01 00:00:00";NULL
"27527";"11";"30";"0";"1";"1";"/bazen/3/nadpis/";"2019-03-01 00:00:00";NULL
"27528";"11";"381";"0";"1";"0.782152";"/bazen/3/popis/";"2019-03-01 00:00:00";NULL
"27529";"11";"0";"1";"1";"1";"/bazen/3/foto/";"2019-03-01 00:00:00";NULL
